country,confirmed,deaths,incident_rate,case_fatality_ratio,last_update,lat,long
Brazil,871612,19021,10131.648003310524,2.182278353212209,2023-03-10 04:21:03,-1.9981,-54.9306
Brazil,707743,10542,17613.75387089557,1.4895237395495258,2023-03-10 04:21:03,-7.24,-36.782
Brazil,2918459,46018,25524.488154013525,1.5767910393807143,2023-03-10 04:21:03,-25.2521,-52.0215
Brazil,1156640,22686,12102.45272845624,1.961370867339881,2023-03-10 04:21:03,-8.8137,-36.9541
Brazil,424866,8354,12980.034687481191,1.9662670112458986,2023-03-10 04:21:03,-7.7183,-42.7289
Brazil,585935,8715,16708.285177622216,1.48736634609641,2023-03-10 04:21:03,-5.4026,-36.9541
Brazil,2961756,41919,26032.291314263504,1.4153427898854598,2023-03-10 04:21:03,-30.0346,-51.2177
Brazil,2752662,76844,15943.649509876748,2.791624979746878,2023-03-10 04:21:03,-22.9068,-43.1729
Brazil,482910,7432,27172.13633614202,1.5390031268766438,2023-03-10 04:21:03,-11.5057,-63.5806
Brazil,182485,2180,30124.917252843945,1.194618735786503,2023-03-10 04:21:03,-2.7376,-62.0751
Brazil,1985888,22703,27717.33092451584,1.143216535877149,2023-03-10 04:21:03,-27.2423,-50.2189
Brazil,6469442,179039,14088.79787558318,2.7674566059947674,2023-03-10 04:21:03,-23.5505,-46.6333
Brazil,359674,6502,15646.871095612469,1.8077481274709877,2023-03-10 04:21:03,-10.5741,-37.3857
Brazil,365538,4232,23240.25059986038,1.1577455695440693,2023-03-10 04:21:03,-10.1753,-48.2982
Brunei,279661,225,63924.99822850259,0.08045455033057881,2023-03-10 04:21:03,4.5353,114.7277
Bulgaria,1297523,38228,18673.573727646977,2.946229084185791,2023-03-10 04:21:03,42.7339,25.4858
Burkina Faso,22056,396,105.51455135409864,1.7954298150163222,2023-03-10 04:21:03,12.2383,-1.5616
Burma,633950,19490,1165.1394967604544,3.0743749507058915,2023-03-10 04:21:03,21.9162,95.956
Burundi,53631,38,451.030087931146,0.07085454308142679,2023-03-10 04:21:03,-3.3731,29.9189
Cabo Verde,63244,413,11375.065648898895,0.6530263740433875,2023-03-10 04:21:03,16.5388,-23.0418
Cambodia,138719,3056,829.7101538126958,2.2030147276148186,2023-03-10 04:21:03,11.55,104.9167
Cameroon,124392,1965,468.5927721169671,1.5796835809376808,2023-03-10 04:21:03,3.848,11.5021
Canada,629269,5622,14258.966279384367,0.8934176004220771,2023-03-10 04:21:03,53.9333,-116.5765
Canada,396817,5249,7764.105736798308,1.3227759899399472,2023-03-10 04:21:03,53.7267,-127.6476
Canada,0,1,,,2020-12-21 13:27:30,,
Canada,13,0,,0.0,2020-12-21 13:27:30,,
Canada,154712,2464,11231.222554785169,1.592636640984539,2023-03-10 04:21:03,53.7609,-98.8139
Canada,88866,834,11393.17916955665,0.9384916616028628,2023-03-10 04:21:03,46.5653,-66.4619
Canada,54757,318,10502.622922520692,0.5807476669649543,2023-03-10 04:21:03,53.1355,-57.6604
Canada,11511,22,25634.687332977017,0.1911215359221614,2023-03-10 04:21:03,64.8255,-124.8457
Canada,140793,794,14404.009588145564,0.5639484917574027,2023-03-10 04:21:03,44.682,-63.7443
Canada,3531,7,9105.20887055183,0.19824412347776835,2023-03-10 04:21:03,70.2998,-83.1076
Canada,1601325,16234,10884.610048772323,1.0137854589168345,2023-03-10 04:21:03,51.2538,-85.3232
Canada,56523,93,35738.312320590805,0.16453479114696673,2023-03-10 04:21:03,46.5107,-63.4168
Canada,1320325,18160,15464.692139802948,1.3754189309450324,2023-03-10 04:21:03,52.9399,-73.5491
Canada,13,0,,0.0,2023-03-10 04:21:03,,
Canada,153651,1890,13002.912836622192,1.2300603315305465,2023-03-10 04:21:03,52.9399,-106.4509
Canada,4989,32,12145.187204829836,0.6414111044297455,2023-03-10 04:21:03,64.2823,-135.0
Central African Republic,15368,113,318.1936011780286,0.7352941176470589,2023-03-10 04:21:03,6.6111,20.9394
Chad,7679,194,46.74945766915448,2.526370621174632,2023-03-10 04:21:03,15.4542,18.7322
Chile,183811,1961,30255.26143392798,1.0668567169538277,2023-03-10 04:21:03,-23.6509,-70.3975
Chile,293632,2922,30675.369610456903,0.9951231473408892,2023-03-10 04:21:03,-38.9489,-72.3311
Chile,79718,900,35262.84126899871,1.1289796532778043,2023-03-10 04:21:03,-18.594,-69.4785
Chile,116955,718,40476.70136773908,0.6139113334188363,2023-03-10 04:21:03,-27.5661,-70.0503
Chile,36352,222,35239.14771515539,0.6106954225352113,2023-03-10 04:21:03,-45.9864,-73.7669
Chile,510730,4824,32806.292374446384,0.9445303780862687,2023-03-10 04:21:03,-37.4464,-72.1416
Chile,211158,1951,27872.479164081706,0.9239526799837089,2023-03-10 04:21:03,-29.959,-71.3389
Chile,243060,2577,29329.993194225222,1.0602320414712416,2023-03-10 04:21:03,-41.9198,-72.1416
Chile,148252,1411,38523.32286136728,0.9517578177697434,2023-03-10 04:21:03,-40.231,-72.3311
Chile,67653,774,40624.3807533642,1.1440734335506186,2023-03-10 04:21:03,-52.368,-70.9863
Chile,346804,3354,33188.57361596249,0.967116872931108,2023-03-10 04:21:03,-35.5183,-71.6885
Chile,1967389,30869,27659.80749093748,1.5690338819623368,2023-03-10 04:21:03,-33.4376,-70.6505
Chile,158355,1333,32948.82118312391,0.8417795459568691,2023-03-10 04:21:03,-36.7226,-71.7622
Chile,221916,2821,24264.915724040653,1.2712017159645992,2023-03-10 04:21:03,-34.5755,-71.0022
Chile,113542,1173,34348.58632978176,1.033097884483275,2023-03-10 04:21:03,-19.9232,-69.5132
Chile,42,2,,4.761904761904762,2023-03-10 04:21:03,,
Chile,492917,6461,27144.47145275461,1.310768344366293,2023-03-10 04:21:03,-33.0472,-71.6127
China,2275,7,3.5974067046173306,0.3076923076923077,2023-03-10 04:21:03,31.8257,117.2264
