symbol,img_symbol,nama,harga,perubahan,persen_perubahan,nilai_pasar,volume_in_currency_kumulatif,volume_in_currency_24hr,Total_volume_all_currencies,circulating_supply
WBETH-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/24760.png,Wrapped Beacon ETH USD,"2,411.29",+35.32,+1.49%,1.894B,2.69M,2.69M,2.69M,"785,595"
MNT27075-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png,Mantle USD,0.589416,+0.000340,+0.06%,1.867B,61.133M,61.133M,61.133M,3.167B
SUI20947-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,Sui USD,1.5395,-0.0545,-3.42%,1.795B,465.236M,465.236M,465.236M,1.166B
MKR-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,Maker USD,"1,935.11",-38.82,-1.97%,1.786B,42.463M,42.463M,42.463M,"922,862"
RNDR-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,Render USD,4.3811,-0.1025,-2.29%,1.648B,92.306M,92.306M,92.306M,376.146M
RUNE-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png,THORChain USD,4.4785,+0.0324,+0.73%,1.521B,126.291M,126.291M,126.291M,339.72M
TUSD-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png,TrueUSD USD,0.983833,-0.000480,-0.05%,1.464B,70.143M,70.143M,70.143M,1.488B
GRT6719-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,The Graph USD,0.155724,+0.001328,+0.86%,1.463B,35.218M,35.218M,35.218M,9.392B
SEI-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/23149.png,Sei USD,0.600037,-0.024214,-3.88%,1.455B,176.473M,176.473M,176.473M,2.425B
RETH-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/15060.png,Rocket Pool ETH USD,"2,555.17",+13.91,+0.55%,1.435B,7.223M,7.223M,7.223M,"561,673"
BSV-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,Bitcoin SV USD,72.01,-0.09,-0.12%,1.413B,70.67M,70.67M,70.67M,19.627M
EGLD-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png,MultiversX USD,53.09,-0.22,-0.41%,1.409B,22.333M,22.333M,22.333M,26.54M
HEX-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/5015.png,HEX USD,0.007773,-0.000211,-2.64%,1.348B,"825,491","825,491","825,491",173.411B
ALGO-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png,Algorand USD,0.159588,-0.000229,-0.14%,1.284B,22.274M,22.274M,22.274M,8.046B
QNT-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png,Quant USD,102.65,+0.56,+0.55%,1.239B,13.105M,13.105M,13.105M,12.073M
AAVE-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,Aave USD,83.86,-0.60,-0.72%,1.235B,92.509M,92.509M,92.509M,14.73M
MINA-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,Mina USD,1.1485,-0.0507,-4.23%,1.203B,38.847M,38.847M,38.847M,1.048B
ORDI-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/25028.png,ORDI USD,54.64,+1.27,+2.38%,1.147B,97.811M,97.811M,97.811M,21M
HNT-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png,Helium USD,7.0825,-0.0954,-1.33%,1.139B,11.92M,11.92M,11.92M,160.875M
FLOW-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png,Flow USD,0.736006,+0.011994,+1.66%,1.094B,29.456M,29.456M,29.456M,1.486B
ASTR-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/12885.png,Astar USD,0.180109,-0.001801,-0.99%,1.001B,16.255M,16.255M,16.255M,5.56B
FTM-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png,Fantom USD,0.357057,-0.001002,-0.28%,1.001B,36.183M,36.183M,36.183M,2.804B
SNX-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,Synthetix USD,3.2017,+0.1384,+4.52%,975.113M,25.417M,25.417M,25.417M,304.559M
SAND-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/6210.png,The Sandbox USD,0.431685,+0.000912,+0.21%,965.995M,60.105M,60.105M,60.105M,2.238B
KCS-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png,KuCoin Token USD,9.9246,+0.2012,+2.07%,957.691M,1.318M,1.318M,1.318M,96.497M
XTZ-USD,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png,Tezos USD,0.985703,+0.009575,+0.98%,956.021M,19.184M,19.184M,19.184M,969.887M
